Feature Name,Tier Support,GA/Preview,What is the feature for,Microsoft Official Reference Link
llm-token-limit (Token Rate Limiting),"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Prevents LLM API usage spikes by limiting token consumption per key based on tokens-per-minute (TPM) rate or token quota over specified periods (hourly/daily/weekly/monthly/yearly). Returns 429 when rate exceeded, 403 when quota exceeded.",https://learn.microsoft.com/en-us/azure/api-management/llm-token-limit-policy
llm-token-limit (Token Quota),"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Sets token quotas over configurable time periods (hourly to yearly) per consumer. Enables fair distribution of tokens across multiple applications and developer teams.",https://learn.microsoft.com/en-us/azure/api-management/llm-token-limit-policy
llm-content-safety (Content Moderation),"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Enforces content safety checks on LLM prompts and completions using Azure AI Content Safety service. Blocks harmful content across categories: Hate, SelfHarm, Sexual, Violence with configurable severity thresholds (0-7).",https://learn.microsoft.com/en-us/azure/api-management/llm-content-safety-policy
llm-content-safety (Shield Prompt),"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Detects and blocks jailbreak attempts and adversarial prompt attacks. Set shield-prompt=""true"" to enable protection against user attacks on LLM systems.",https://learn.microsoft.com/en-us/azure/api-management/llm-content-safety-policy
llm-content-safety (Custom Blocklists),"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Applies organization-specific blocklists to prevent specific content from being sent or received. Integrates with Azure AI Content Safety blocklist feature.",https://learn.microsoft.com/en-us/azure/api-management/llm-content-safety-policy
llm-semantic-cache-lookup,"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Looks up semantically similar prompts in cache using vector proximity comparison. Reduces LLM API calls and improves response times by reusing completions from similar previous requests.",https://learn.microsoft.com/en-us/azure/api-management/llm-semantic-cache-lookup-policy
llm-semantic-cache-store,"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Stores prompt completions in Azure Managed Redis cache with vector embeddings. Works with llm-semantic-cache-lookup to enable semantic caching that can reduce LLM costs by 30-50%.",https://learn.microsoft.com/en-us/azure/api-management/llm-semantic-cache-store-policy
llm-emit-token-metric,"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Emits token consumption metrics to Application Insights with custom dimensions (client IP, API ID, user ID, etc.). Enables tracking and analytics of token usage per consumer for billing and optimization.",https://learn.microsoft.com/en-us/azure/api-management/llm-emit-token-metric-policy
Prompt Token Pre-calculation,"Developer, Basic, Basic v2, Standard, Standard v2, Premium, Premium v2",GA,"Estimates prompt tokens on the APIM gateway before sending to backend. Minimizes unnecessary requests to LLM backend when prompt already exceeds the configured token limit.",https://learn.microsoft.com/en-us/azure/api-management/llm-token-limit-policy
Import Microsoft Foundry API,All API Management tiers,GA,"Streamlined wizard to import AI model schemas from Microsoft Foundry. Auto-configures authentication using managed identity and pre-configures policies for scalability, security, and observability.",https://learn.microsoft.com/en-us/azure/api-management/azure-ai-foundry-api
Import OpenAI-compatible LLM API,All API Management tiers,GA,"Import and configure OpenAI-compatible or passthrough LLM endpoints as APIs. Supports models from various providers including Azure OpenAI, Amazon Bedrock, and self-hosted models.",https://learn.microsoft.com/en-us/azure/api-management/openai-compatible-llm-api
Export REST API as MCP Server,All API Management tiers,GA,"Expose existing REST APIs as Model Context Protocol (MCP) servers. Enables AI agents to discover and consume your APIs through the standardized MCP interface.",https://learn.microsoft.com/en-us/azure/api-management/export-rest-mcp-server
Passthrough to MCP Servers,All API Management tiers,GA,"Govern existing MCP servers through APIM gateway. Apply policies, authentication, and monitoring to MCP traffic without modifying the underlying MCP server.",https://learn.microsoft.com/en-us/azure/api-management/expose-existing-mcp-server
Import A2A Agent API,All API Management tiers,Preview,"Import and manage Agent-to-Agent (A2A) protocol APIs. Enables governance and monitoring of agent-to-agent communication through the APIM gateway.",https://learn.microsoft.com/en-us/azure/api-management/agent-to-agent-api
Backend Load Balancer,All API Management tiers,GA,"Distributes traffic across multiple AI backends using round-robin, weighted, priority-based, or session-aware algorithms. Optimizes utilization of PTU (Provisioned Throughput Unit) instances.",https://learn.microsoft.com/en-us/azure/api-management/backends
Circuit Breaker,All API Management tiers,GA,"Stops forwarding requests to unresponsive AI backends. Features dynamic trip duration using Retry-After header from backend for precise and timely recovery.",https://learn.microsoft.com/en-us/azure/api-management/backends#circuit-breaker
Managed Identity Authentication,All API Management tiers,GA,"Authenticate to Azure AI services using APIM's managed identity. Eliminates the need for API keys and enables secure, credential-free authentication to LLM backends.",https://learn.microsoft.com/en-us/azure/api-management/api-management-authenticate-authorize-ai-apis
OAuth for AI Apps/Agents,All API Management tiers,GA,"Configure OAuth authorization for AI applications and agents to access APIs or MCP servers. Uses API Management's credential manager for secure token management.",https://learn.microsoft.com/en-us/azure/api-management/credentials-overview
Secure MCP Server Access,All API Management tiers,GA,"Apply authentication and authorization policies to MCP server endpoints. Ensures only authorized clients can access tools exposed through MCP protocol.",https://learn.microsoft.com/en-us/azure/api-management/secure-mcp-servers
